,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,windy,cntN,casualN,registeredN
29,30,2011-01-02,4,0,1,6,0,0,0,0,0.42,0.4242,0.77,0.2985,0,2,2,0,3.14658387764,inf,0.707106781187
30,31,2011-01-02,4,0,1,7,0,0,0,1,0.4,0.4091,0.76,0.194,0,1,1,0,3.16227766017,inf,1.0
31,32,2011-01-02,4,0,1,8,0,0,0,0,0.4,0.4091,0.71,0.2239,0,8,8,0,3.05708920258,inf,0.353553390593
32,33,2011-01-02,4,0,1,9,0,0,0,1,0.38,0.3939,0.76,0.2239,1,19,20,0,2.88675134595,1.0,0.229415733871
33,34,2011-01-02,4,0,1,10,0,0,0,1,0.36,0.3485,0.81,0.2239,7,46,53,0,2.55654996282,0.377964473009,0.147441956155
34,35,2011-01-02,4,0,1,11,0,0,0,1,0.36,0.3333,0.71,0.2537,16,54,70,0,2.41825416703,0.25,0.136082763488
35,36,2011-01-02,4,0,1,12,0,0,0,1,0.36,0.3333,0.66,0.2985,20,73,93,0,2.27038304593,0.22360679775,0.117041147196
36,37,2011-01-02,4,0,1,13,0,0,0,1,0.36,0.3485,0.66,0.1343,11,64,75,0,2.38365647311,0.301511344578,0.125
37,38,2011-01-02,4,0,1,14,0,0,0,0,0.36,0.3485,0.76,0.194,4,55,59,0,2.50784931288,0.5,0.134839972493
38,39,2011-01-02,4,0,1,15,0,0,0,0,0.34,0.3333,0.81,0.1642,19,55,74,0,2.39045721867,0.229415733871,0.134839972493
39,40,2011-01-02,4,0,1,16,0,0,0,0,0.34,0.3333,0.71,0.1642,9,67,76,0,2.37691344271,0.333333333333,0.122169444356
40,41,2011-01-02,4,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,0,2.45440346837,0.377964473009,0.13130643286
41,42,2011-01-02,4,0,1,18,0,0,0,1,0.36,0.3333,0.46,0.3284,10,43,53,0,2.55654996282,0.316227766017,0.152498570333
42,43,2011-01-02,4,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,0,2.77350098113,1.0,0.185695338177
43,44,2011-01-02,4,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,0,2.86299167157,0.4472135955,0.242535625036
44,45,2011-01-02,4,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,0,2.76289481998,0.301511344578,0.22360679775
45,46,2011-01-02,4,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,0,3.04290309725,inf,0.333333333333
46,47,2011-01-02,4,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,0,3.05708920258,inf,0.353553390593
47,48,2011-01-03,4,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,0,3.10086836473,inf,0.4472135955
48,49,2011-01-03,4,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,0,3.14658387764,inf,0.707106781187
49,50,2011-01-03,4,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,0,3.16227766017,inf,1.0
50,51,2011-01-03,4,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,0,3.13112145543,inf,0.57735026919
51,52,2011-01-03,4,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,0,2.77350098113,inf,0.182574185835
52,53,2011-01-03,4,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,0,2.46932399162,1.0,0.12598815767
53,54,2011-01-03,4,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,0,1.97257460788,1.0,0.0808452083454
54,55,2011-01-03,4,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,0,2.30021853114,0.377964473009,0.111111111111
55,56,2011-01-03,4,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,0,2.63523138347,0.301511344578,0.174077655956
56,57,2011-01-03,4,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,0,2.57342506327,0.316227766017,0.156173761889
57,58,2011-01-03,4,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,0,2.484519975,0.277350098113,0.144337567297
58,59,2011-01-03,4,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,0,2.484519975,0.353553390593,0.137360563949
59,60,2011-01-03,4,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,0,2.3702273157,0.301511344578,0.123091490979
60,61,2011-01-03,4,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,0,2.40423518417,0.267261241912,0.13130643286
61,62,2011-01-03,4,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,0,2.37691344271,0.333333333333,0.122169444356
62,63,2011-01-03,4,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,0,1.96116135138,0.301511344578,0.0827605888602
63,64,2011-01-03,4,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,0,1.96116135138,0.333333333333,0.0821994936527
64,65,2011-01-03,4,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,1,2.17186121382,0.353553390593,0.0990147542977
65,66,2011-01-03,4,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,0,2.56494588021,0.57735026919,0.142857142857
66,67,2011-01-03,4,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,0,2.56494588021,0.57735026919,0.142857142857
67,68,2011-01-03,4,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,0,2.88675134595,inf,0.22360679775
68,69,2011-01-03,4,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,0,3.00150112594,1.0,0.301511344578
69,70,2011-01-04,4,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,0,3.10086836473,inf,0.4472135955
70,71,2011-01-04,4,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,0,3.14658387764,inf,0.707106781187
71,72,2011-01-04,4,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,0,3.16227766017,inf,1.0
72,73,2011-01-04,4,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,0,3.14658387764,inf,0.707106781187
73,74,2011-01-04,4,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,0,3.11588476425,inf,0.5
74,75,2011-01-04,4,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,0,2.71163072273,inf,0.166666666667
75,76,2011-01-04,4,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,0,2.26455406829,0.707106781187,0.104257207029
76,77,2011-01-04,4,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,0,1.88310894289,0.707106781187,0.0751646028003
77,78,2011-01-04,4,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,0,2.23049868373,0.707106781187,0.101015254455
78,79,2011-01-04,4,0,1,10,0,2,1,1,0.16,0.1364,0.69,0.3284,5,37,42,0,2.65372446217,0.4472135955,0.164398987305
79,80,2011-01-04,4,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,0,2.52377232563,0.377964473009,0.141421356237
80,81,2011-01-04,4,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,0,2.36359729624,0.288675134595,0.123091490979
81,82,2011-01-04,4,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,0,2.24733287488,0.235702260396,0.112508790093
82,83,2011-01-04,4,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,0,2.46932399162,0.333333333333,0.136082763488
83,84,2011-01-04,4,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,0,2.45440346837,0.242535625036,0.144337567297
84,85,2011-01-04,4,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,0,2.3312620206,0.258198889747,0.121267812518
85,86,2011-01-04,4,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,0,1.77892016741,0.316227766017,0.070359754473
86,87,2011-01-04,4,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,0,1.87317162316,0.57735026919,0.0747435092752
87,88,2011-01-04,4,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,0,2.16168850584,0.707106781187,0.0953462589246
88,89,2011-01-04,4,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,0,2.54823595719,1.0,0.137360563949
89,90,2011-01-04,4,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,1,2.59937622455,inf,0.144337567297
90,91,2011-01-04,4,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,0,2.72165526976,1.0,0.171498585143
91,92,2011-01-04,4,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,0,3.01511344578,0.707106781187,0.333333333333
92,93,2011-01-05,4,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,1,3.08606699924,inf,0.408248290464
93,94,2011-01-05,4,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,0,3.08606699924,inf,0.408248290464
94,95,2011-01-05,4,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,0,3.14658387764,inf,0.707106781187
95,96,2011-01-05,4,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,0,3.14658387764,inf,0.707106781187
96,97,2011-01-05,4,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,0,3.13112145543,inf,0.57735026919
97,98,2011-01-05,4,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,0,2.74204248554,inf,0.174077655956
98,99,2011-01-05,4,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,0,2.30021853114,1.0,0.107211253484
99,100,2011-01-05,4,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,0,1.8287923899,0.57735026919,0.0721687836487
100,101,2011-01-05,4,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,0,2.14669395371,0.408248290464,0.0957826285221
101,102,2011-01-05,4,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,0,2.52377232563,0.5,0.137360563949
102,103,2011-01-05,4,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,0,2.61711961295,0.288675134595,0.171498585143
103,104,2011-01-05,4,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,0,2.35702260396,0.4472135955,0.116247638744
104,105,2011-01-05,4,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,0,2.41121411085,0.408248290464,0.124034734589
105,106,2011-01-05,4,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,0,2.484519975,0.316227766017,0.138675049056
106,107,2011-01-05,4,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,0,2.484519975,0.377964473009,0.134839972493
107,108,2011-01-05,4,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,0,2.29415733871,0.5,0.108465228909
108,109,2011-01-05,4,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,0,1.84427778391,0.5,0.0733235575107
109,110,2011-01-05,4,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,0,1.91741247212,0.57735026919,0.0776150525706
110,111,2011-01-05,4,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,0,2.06724557649,0.4472135955,0.0887356509416
111,112,2011-01-05,4,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,0,2.29415733871,0.377964473009,0.110431526075
112,113,2011-01-05,4,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,0,2.64442942674,0.57735026919,0.158113883008
113,114,2011-01-05,4,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,0,2.65372446217,1.0,0.156173761889
114,115,2011-01-05,4,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,1,2.9111125487,1.0,0.235702260396
115,116,2011-01-06,4,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,1,3.01511344578,inf,0.301511344578
116,117,2011-01-06,4,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,1,3.11588476425,inf,0.5
117,118,2011-01-06,4,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,1,3.14658387764,inf,0.707106781187
118,119,2011-01-06,4,0,1,4,0,4,1,1,0.16,0.197,0.64,0.0896,0,1,1,0,3.16227766017,inf,1.0
119,120,2011-01-06,4,0,1,5,0,4,1,1,0.14,0.1818,0.69,0.0896,0,4,4,0,3.11588476425,inf,0.5
120,121,2011-01-06,4,0,1,6,0,4,1,1,0.14,0.1667,0.63,0.1045,0,36,36,0,2.71163072273,inf,0.166666666667
121,122,2011-01-06,4,0,1,7,0,4,1,1,0.16,0.2273,0.59,0.0,0,95,95,1,2.25876975726,inf,0.102597835209
122,123,2011-01-06,4,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,1,1.75953835769,0.57735026919,0.068041381744
123,124,2011-01-06,4,0,1,9,0,4,1,1,0.18,0.2424,0.51,0.0,6,116,122,1,2.11288563682,0.408248290464,0.0928476690885
124,125,2011-01-06,4,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,1,2.62612865719,0.57735026919,0.154303349962
125,126,2011-01-06,4,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,0,2.50784931288,0.707106781187,0.132453235707
126,127,2011-01-06,4,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,1,2.32495277488,0.408248290464,0.113227703414
127,128,2011-01-06,4,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,0,2.43975018237,0.288675134595,0.134839972493
128,129,2011-01-06,4,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,0,2.41825416703,0.301511344578,0.130188910981
129,130,2011-01-06,4,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,1,2.484519975,0.353553390593,0.136082763488
130,131,2011-01-06,4,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,0,2.31248645031,0.288675134595,0.116247638744
131,132,2011-01-06,4,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,0,1.90692517849,0.333333333333,0.0783260449988
132,133,2011-01-06,4,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,0,1.93891683582,0.4472135955,0.0795557284176
133,134,2011-01-06,4,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,0,2.16168850584,0.57735026919,0.0957826285221
134,135,2011-01-06,4,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,0,2.42535625036,0.57735026919,0.123091490979
135,136,2011-01-06,4,0,1,21,0,4,1,1,0.22,0.2121,0.55,0.2239,0,48,48,0,2.59937622455,inf,0.144337567297
136,137,2011-01-06,4,0,1,22,0,4,1,1,0.22,0.2121,0.51,0.2836,1,51,52,0,2.56494588021,1.0,0.140028008403
137,138,2011-01-06,4,0,1,23,0,4,1,1,0.2,0.197,0.59,0.194,4,19,23,0,2.86299167157,0.5,0.229415733871
138,139,2011-01-07,4,0,1,0,0,5,1,1,0.2,0.197,0.64,0.194,4,13,17,0,2.93610109757,0.5,0.277350098113
139,140,2011-01-07,4,0,1,1,0,5,1,1,0.2,0.197,0.69,0.2239,2,5,7,0,3.07147558417,0.707106781187,0.4472135955
140,141,2011-01-07,4,0,1,2,0,5,1,1,0.2,0.197,0.69,0.2239,0,1,1,0,3.16227766017,inf,1.0
141,142,2011-01-07,4,0,1,4,0,5,1,1,0.2,0.2121,0.69,0.1343,0,1,1,0,3.16227766017,inf,1.0
142,143,2011-01-07,4,0,1,5,0,5,1,0,0.22,0.2727,0.55,0.0,0,5,5,1,3.10086836473,inf,0.4472135955
143,144,2011-01-07,4,0,1,6,0,5,1,1,0.2,0.2576,0.69,0.0,8,26,34,1,2.73179182354,0.353553390593,0.196116135138
144,145,2011-01-07,4,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,0,2.32495277488,0.353553390593,0.114707866935
145,146,2011-01-07,4,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,0,1.78457652562,0.22360679775,0.072547625011
146,147,2011-01-07,4,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,0,2.05846742398,0.333333333333,0.0894427191
147,148,2011-01-07,4,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,0,2.46932399162,0.25,0.145864991498
148,149,2011-01-07,4,0,1,11,0,5,1,1,0.2,0.197,0.4,0.2239,19,48,67,0,2.43975018237,0.229415733871,0.144337567297
149,150,2011-01-07,4,0,1,12,0,5,1,1,0.2,0.197,0.37,0.2537,9,50,59,0,2.50784931288,0.333333333333,0.141421356237
150,151,2011-01-07,4,0,1,13,0,5,1,1,0.2,0.1818,0.37,0.2836,9,64,73,0,2.39731650743,0.333333333333,0.125
151,152,2011-01-07,4,0,1,14,0,5,1,1,0.2,0.197,0.4,0.2537,7,43,50,0,2.58198889747,0.377964473009,0.152498570333
152,153,2011-01-07,4,0,1,15,0,5,1,1,0.2,0.2121,0.37,0.1642,9,63,72,0,2.40423518417,0.333333333333,0.12598815767
153,154,2011-01-07,4,0,1,16,0,5,1,1,0.2,0.2121,0.37,0.1642,5,82,87,0,2.30632802007,0.4472135955,0.110431526075
154,155,2011-01-07,4,0,1,17,0,5,1,1,0.2,0.2576,0.37,0.0,9,178,187,1,1.85695338177,0.333333333333,0.0749531688996
155,156,2011-01-07,4,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,0,2.10818510678,0.377964473009,0.0928476690885
156,157,2011-01-07,4,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,0,2.25876975726,0.57735026919,0.104257207029
157,158,2011-01-07,4,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,0,2.57342506327,1.0,0.141421356237
158,159,2011-01-07,4,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,0,2.68220890393,inf,0.160128153805
159,160,2011-01-07,4,0,1,22,0,5,1,1,0.18,0.197,0.43,0.1642,2,34,36,0,2.71163072273,0.707106781187,0.171498585143
160,161,2011-01-07,4,0,1,23,0,5,1,1,0.18,0.197,0.51,0.1642,1,14,15,0,2.9617443888,1.0,0.267261241912
161,162,2011-01-08,4,0,1,0,0,6,0,1,0.18,0.197,0.51,0.1642,1,24,25,0,2.82842712475,1.0,0.204124145232
162,163,2011-01-08,4,0,1,1,0,6,0,1,0.18,0.2121,0.55,0.0896,1,15,16,0,2.9488391231,1.0,0.258198889747
163,164,2011-01-08,4,0,1,2,0,6,0,1,0.18,0.2424,0.55,0.0,3,13,16,1,2.9488391231,0.57735026919,0.277350098113
164,165,2011-01-08,4,0,1,3,0,6,0,0,0.18,0.197,0.55,0.1642,0,7,7,0,3.07147558417,inf,0.377964473009
165,166,2011-01-08,4,0,1,4,0,6,0,0,0.18,0.197,0.55,0.1642,0,1,1,0,3.16227766017,inf,1.0
166,167,2011-01-08,4,0,1,5,0,6,0,1,0.16,0.1667,0.74,0.1642,0,5,5,0,3.10086836473,inf,0.4472135955
167,168,2011-01-08,4,0,1,6,0,6,0,1,0.16,0.1667,0.74,0.1642,0,2,2,0,3.14658387764,inf,0.707106781187
168,169,2011-01-08,4,0,1,7,0,6,0,1,0.16,0.1818,0.74,0.1045,1,8,9,0,3.04290309725,1.0,0.353553390593
169,170,2011-01-08,4,0,1,8,0,6,0,0,0.16,0.1818,0.93,0.1045,0,15,15,0,2.9617443888,inf,0.258198889747
170,171,2011-01-08,4,0,1,9,0,6,0,0,0.16,0.1818,0.93,0.1045,0,20,20,0,2.88675134595,inf,0.22360679775
171,172,2011-01-08,4,0,1,10,0,6,0,1,0.18,0.197,0.8,0.1642,5,56,61,0,2.484519975,0.4472135955,0.133630620956
172,173,2011-01-08,4,0,1,11,0,6,0,1,0.2,0.1818,0.69,0.3881,2,60,62,0,2.484519975,0.707106781187,0.129099444874
173,174,2011-01-08,4,0,1,12,0,6,0,1,0.2,0.1818,0.59,0.3582,8,90,98,0,2.24167919831,0.353553390593,0.105409255339
174,175,2011-01-08,4,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,0,2.21403721385,0.377964473009,0.102597835209
175,176,2011-01-08,4,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,0,2.25876975726,0.288675134595,0.10976425999
176,177,2011-01-08,4,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,0,2.39045721867,0.4472135955,0.120385853086
177,178,2011-01-08,4,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,0,2.37691344271,0.353553390593,0.121267812518
178,179,2011-01-08,4,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,0,2.42535625036,0.4472135955,0.125
179,180,2011-01-08,4,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,0,2.54000254,0.57735026919,0.138675049056
180,181,2011-01-08,4,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,0,2.77350098113,0.5,0.196116135138
181,182,2011-01-08,4,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,0,2.79508497187,inf,0.188982236505
182,183,2011-01-08,4,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,0,2.70171613479,0.707106781187,0.169030850946
183,184,2011-01-08,4,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,0,2.73179182354,1.0,0.174077655956
184,185,2011-01-08,4,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,0,2.86299167157,inf,0.213200716356
185,186,2011-01-09,4,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,0,2.82842712475,1.0,0.204124145232
186,187,2011-01-09,4,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,0,3.00150112594,inf,0.288675134595
187,188,2011-01-09,4,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,0,3.01511344578,inf,0.301511344578
188,189,2011-01-09,4,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,0,3.11588476425,inf,0.5
189,190,2011-01-09,4,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,0,3.16227766017,inf,1.0
190,191,2011-01-09,4,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,0,3.16227766017,inf,1.0
191,192,2011-01-09,4,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,0,3.16227766017,inf,1.0
192,193,2011-01-09,4,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,0,3.08606699924,1.0,0.4472135955
