,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,windy,cntN,casualN,registeredN
742,743,2011-02-03,4,0,2,8,0,4,1,1,0.14,0.1212,0.5,0.3582,4,184,188,0,1.85058302549,0.5,0.0737209780774
743,744,2011-02-03,4,0,2,9,0,4,1,1,0.16,0.1364,0.47,0.2985,6,127,133,0,2.06284249252,0.408248290464,0.0887356509416
751,752,2011-02-03,4,0,2,17,0,4,1,1,0.2,0.197,0.4,0.194,5,170,175,0,1.89660810453,0.4472135955,0.0766964988847
752,753,2011-02-03,4,0,2,18,0,4,1,1,0.2,0.2121,0.4,0.1642,2,145,147,0,2.0,0.707106781187,0.0830454798537
765,766,2011-02-04,4,0,2,8,0,5,1,1,0.14,0.1515,0.74,0.1343,3,217,220,0,1.75682092232,0.57735026919,0.0678844233302
774,775,2011-02-04,4,0,2,17,0,5,1,1,0.26,0.2727,0.56,0.1343,10,195,205,0,1.7989569074,0.316227766017,0.0716114874039
775,776,2011-02-04,4,0,2,18,0,5,1,1,0.24,0.2576,0.6,0.1045,3,152,155,0,1.9687480774,0.57735026919,0.0811107105654
817,818,2011-02-06,4,0,2,12,0,0,0,1,0.34,0.3333,0.46,0.0,48,126,174,1,1.90002850064,0.144337567297,0.0890870806375
818,819,2011-02-06,4,0,2,13,0,0,0,1,0.34,0.3636,0.46,0.0,47,135,182,1,1.87317162316,0.145864991498,0.0860662965824
819,820,2011-02-06,4,0,2,14,0,0,0,1,0.34,0.3485,0.46,0.0896,47,114,161,0,1.9462473604,0.145864991498,0.0936585811582
820,821,2011-02-06,4,0,2,15,0,0,0,1,0.34,0.3485,0.46,0.0896,52,130,182,0,1.87317162316,0.138675049056,0.0877058019307
821,822,2011-02-06,4,0,2,16,0,0,0,1,0.34,0.3485,0.49,0.1045,42,115,157,0,1.96116135138,0.154303349962,0.093250480824
837,838,2011-02-07,4,0,2,8,0,1,1,1,0.16,0.2273,1.0,0.0,7,223,230,1,1.72773685116,0.377964473009,0.0669649530182
846,847,2011-02-07,4,0,2,17,0,1,1,1,0.32,0.3182,0.7,0.1642,9,207,216,0,1.76776695297,0.333333333333,0.0695048046857
847,848,2011-02-07,4,0,2,18,0,1,1,1,0.34,0.3333,0.66,0.1343,5,170,175,0,1.89660810453,0.4472135955,0.0766964988847
861,862,2011-02-08,4,0,2,8,0,2,1,1,0.24,0.197,0.56,0.4925,7,236,243,0,1.69515875905,0.377964473009,0.0650944554904
862,863,2011-02-08,4,0,2,9,0,2,1,1,0.24,0.197,0.52,0.4925,7,128,135,0,2.05412007504,0.377964473009,0.0883883476483
870,871,2011-02-08,4,0,2,17,0,2,1,1,0.22,0.1818,0.32,0.5821,4,172,176,1,1.89320611416,0.5,0.0762492851663
871,872,2011-02-08,4,0,2,18,0,2,1,1,0.2,0.1818,0.32,0.3881,1,151,152,0,1.98029508595,1.0,0.0813788458771
884,885,2011-02-09,4,0,2,8,0,3,1,1,0.1,0.1364,0.42,0.0,1,198,199,1,1.81668104878,1.0,0.0710669054519
893,894,2011-02-09,4,0,2,17,0,3,1,1,0.2,0.197,0.34,0.2537,9,157,166,0,1.9280747182,0.333333333333,0.0798086884468
894,895,2011-02-09,4,0,2,18,0,3,1,1,0.18,0.1667,0.47,0.2985,2,168,170,0,1.91389750588,0.707106781187,0.077151674981
907,908,2011-02-10,4,0,2,8,0,4,1,1,0.1,0.0758,0.49,0.3284,5,173,178,0,1.88645669476,0.4472135955,0.076028592127
916,917,2011-02-10,4,0,2,17,0,4,1,1,0.18,0.1818,0.26,0.194,6,159,165,0,1.93166852322,0.408248290464,0.0793051585718
917,918,2011-02-10,4,0,2,18,0,4,1,1,0.16,0.1818,0.28,0.1343,3,157,160,0,1.94994393992,0.57735026919,0.0798086884468
929,930,2011-02-11,4,0,2,8,0,5,1,1,0.1,0.1212,0.74,0.1642,4,212,216,0,1.76776695297,0.5,0.0686802819743
930,931,2011-02-11,4,0,2,9,0,5,1,1,0.12,0.1212,0.74,0.2239,8,132,140,0,2.03278907045,0.353553390593,0.0870388279778
938,939,2011-02-11,4,0,2,17,0,5,1,1,0.3,0.3333,0.24,0.0,18,193,211,1,1.78174161275,0.235702260396,0.0719815750749
939,940,2011-02-11,4,0,2,18,0,5,1,1,0.28,0.3182,0.28,0.0,9,165,174,1,1.90002850064,0.333333333333,0.0778498944162
958,959,2011-02-12,4,0,2,13,0,6,0,1,0.3,0.2727,0.39,0.4179,32,103,135,0,2.05412007504,0.176776695297,0.0985329278164
960,961,2011-02-12,4,0,2,15,0,6,0,1,0.34,0.303,0.29,0.4179,47,127,174,0,1.90002850064,0.145864991498,0.0887356509416
961,962,2011-02-12,4,0,2,16,0,6,0,1,0.34,0.303,0.29,0.4179,42,103,145,0,2.00804832226,0.154303349962,0.0985329278164
962,963,2011-02-12,4,0,2,17,0,6,0,1,0.32,0.2879,0.31,0.5224,24,113,137,0,2.04550737432,0.204124145232,0.0940720868384
980,981,2011-02-13,4,0,2,12,0,0,0,1,0.36,0.3182,0.32,0.4627,58,94,152,0,1.98029508595,0.13130643286,0.103142124626
981,982,2011-02-13,4,0,2,13,0,0,0,1,0.38,0.3939,0.29,0.3582,62,92,154,0,1.97257460788,0.127000127,0.104257207029
982,983,2011-02-13,4,0,2,14,0,0,0,1,0.4,0.4091,0.3,0.4179,51,110,161,0,1.9462473604,0.140028008403,0.0953462589246
983,984,2011-02-13,4,0,2,15,0,0,0,1,0.4,0.4091,0.3,0.2985,40,122,162,0,1.94257172471,0.158113883008,0.0905357460425
984,985,2011-02-13,4,0,2,16,0,0,0,1,0.42,0.4242,0.28,0.3284,28,106,134,0,2.05846742398,0.188982236505,0.0971285862357
1000,1001,2011-02-14,4,0,2,8,0,1,1,1,0.38,0.3939,0.4,0.4627,7,249,256,0,1.66435666325,0.377964473009,0.0633724250524
1001,1002,2011-02-14,4,0,2,9,0,1,1,1,0.4,0.4091,0.37,0.3881,8,122,130,0,2.07613699634,0.353553390593,0.0905357460425
1009,1010,2011-02-14,4,0,2,17,0,1,1,1,0.46,0.4545,0.33,0.6119,25,218,243,1,1.69515875905,0.2,0.0677285461479
1010,1011,2011-02-14,4,0,2,18,0,1,1,1,0.4,0.4091,0.4,0.6119,11,194,205,1,1.7989569074,0.301511344578,0.0717958158618
1023,1024,2011-02-15,4,0,2,8,0,2,1,1,0.2,0.1818,0.32,0.3582,10,213,223,0,1.74874354196,0.316227766017,0.0685188709828
1032,1033,2011-02-15,4,0,2,17,0,2,1,1,0.32,0.303,0.22,0.2239,15,191,206,0,1.79605302027,0.258198889747,0.0723574605292
1033,1034,2011-02-15,4,0,2,18,0,2,1,1,0.3,0.303,0.22,0.1343,14,198,212,0,1.77892016741,0.267261241912,0.0710669054519
1034,1035,2011-02-15,4,0,2,19,0,2,1,1,0.28,0.2879,0.26,0.1343,3,142,145,0,2.00804832226,0.57735026919,0.0839181358297
1046,1047,2011-02-16,4,0,2,8,0,3,1,1,0.22,0.2273,0.55,0.1642,6,224,230,0,1.72773685116,0.408248290464,0.0668153104781
1055,1056,2011-02-16,4,0,2,17,0,3,1,1,0.46,0.4545,0.28,0.2836,11,244,255,0,1.66666666667,0.301511344578,0.0640184399664
1056,1057,2011-02-16,4,0,2,18,0,3,1,1,0.4,0.4091,0.4,0.2239,20,202,222,0,1.75142361026,0.22360679775,0.070359754473
1057,1058,2011-02-16,4,0,2,19,0,3,1,1,0.34,0.3182,0.53,0.2239,18,143,161,0,1.9462473604,0.235702260396,0.0836242010007
1070,1071,2011-02-17,4,0,2,8,0,4,1,1,0.32,0.3333,0.57,0.0896,18,267,285,0,1.59923255252,0.235702260396,0.0611990061362
1071,1072,2011-02-17,4,0,2,9,0,4,1,1,0.36,0.3485,0.57,0.194,16,163,179,0,1.88310894289,0.25,0.0783260449988
1078,1079,2011-02-17,4,0,2,16,0,4,1,1,0.56,0.5303,0.35,0.2985,29,117,146,0,2.00804832226,0.185695338177,0.0924500327042
1079,1080,2011-02-17,4,0,2,17,0,4,1,1,0.58,0.5455,0.32,0.2985,18,256,274,0,1.62221421131,0.235702260396,0.0625
1080,1081,2011-02-17,4,0,2,18,0,4,1,1,0.54,0.5152,0.42,0.2836,11,211,222,0,1.75142361026,0.301511344578,0.0688428390822
1081,1082,2011-02-17,4,0,2,19,0,4,1,1,0.48,0.4697,0.55,0.3284,14,161,175,0,1.89660810453,0.267261241912,0.0788110406239
1082,1083,2011-02-17,4,0,2,20,0,4,1,1,0.48,0.4697,0.59,0.3284,8,131,139,0,2.03700210932,0.353553390593,0.0873704056661
1094,1095,2011-02-18,4,0,2,8,0,5,1,1,0.42,0.4242,0.77,0.194,26,246,272,0,1.62650012158,0.196116135138,0.0637576713063
1095,1096,2011-02-18,4,0,2,9,0,5,1,1,0.42,0.4242,0.77,0.194,15,154,169,0,1.91741247212,0.258198889747,0.0805822964025
1098,1099,2011-02-18,4,0,2,12,0,5,1,1,0.5,0.4848,0.59,0.194,59,126,185,0,1.86338998125,0.130188910981,0.0890870806375
1099,1100,2011-02-18,4,0,2,13,0,5,1,1,0.6,0.6212,0.43,0.194,45,131,176,0,1.89320611416,0.1490711985,0.0873704056661
1100,1101,2011-02-18,4,0,2,14,0,5,1,1,0.66,0.6212,0.36,0.2985,73,118,191,0,1.8411492358,0.117041147196,0.0920574617898
1101,1102,2011-02-18,4,0,2,15,0,5,1,1,0.66,0.6212,0.36,0.3284,55,117,172,0,1.90692517849,0.134839972493,0.0924500327042
1102,1103,2011-02-18,4,0,2,16,0,5,1,1,0.66,0.6212,0.36,0.2836,68,164,232,0,1.72260240637,0.121267812518,0.0780868809443
1103,1104,2011-02-18,4,0,2,17,0,5,1,1,0.66,0.6212,0.34,0.3582,52,275,327,0,1.5179418518,0.138675049056,0.0603022689156
1104,1105,2011-02-18,4,0,2,18,0,5,1,1,0.64,0.6212,0.33,0.3284,29,195,224,0,1.74607573942,0.185695338177,0.0716114874039
1105,1106,2011-02-18,4,0,2,19,0,5,1,1,0.62,0.6212,0.29,0.5821,16,146,162,1,1.94257172471,0.25,0.0827605888602
1123,1124,2011-02-19,4,0,2,13,0,6,0,1,0.44,0.4394,0.16,0.6119,52,103,155,1,1.9687480774,0.138675049056,0.0985329278164
1124,1125,2011-02-19,4,0,2,14,0,6,0,1,0.46,0.4545,0.15,0.6567,102,94,196,1,1.82574185835,0.0990147542977,0.103142124626
1125,1126,2011-02-19,4,0,2,15,0,6,0,1,0.44,0.4394,0.16,0.7463,84,87,171,1,1.91040179975,0.109108945118,0.107211253484
1144,1145,2011-02-20,4,0,2,11,0,0,0,1,0.3,0.303,0.33,0.1642,72,89,161,0,1.9462473604,0.117851130198,0.105999788001
1145,1146,2011-02-20,4,0,2,12,0,0,0,1,0.3,0.3182,0.33,0.1045,62,120,182,0,1.87317162316,0.127000127,0.0912870929175
1146,1147,2011-02-20,4,0,2,13,0,0,0,1,0.34,0.3333,0.29,0.0,76,122,198,1,1.81968631312,0.114707866935,0.0905357460425
1147,1148,2011-02-20,4,0,2,14,0,0,0,1,0.36,0.3485,0.27,0.1642,108,104,212,0,1.77892016741,0.0962250448649,0.0980580675691
1148,1149,2011-02-20,4,0,2,15,0,0,0,1,0.36,0.3636,0.27,0.0896,66,102,168,0,1.92094687599,0.123091490979,0.0990147542977
1149,1150,2011-02-20,4,0,2,16,0,0,0,1,0.36,0.3636,0.29,0.0896,59,88,147,0,2.0,0.130188910981,0.106600358178
1150,1151,2011-02-20,4,0,2,17,0,0,0,1,0.34,0.3485,0.33,0.1642,60,86,146,0,2.00804832226,0.129099444874,0.107832773203
1192,1193,2011-02-22,4,0,2,17,0,2,1,1,0.22,0.2121,0.51,0.2239,8,188,196,0,1.82574185835,0.353553390593,0.0729324957489
1193,1194,2011-02-22,4,0,2,18,0,2,1,1,0.22,0.2273,0.47,0.1343,6,161,167,0,1.9245008973,0.408248290464,0.0788110406239
1206,1207,2011-02-23,4,0,2,8,0,3,1,1,0.14,0.1515,0.54,0.1642,8,227,235,0,1.71498585143,0.353553390593,0.06637233116
1207,1208,2011-02-23,4,0,2,9,0,3,1,1,0.18,0.2121,0.51,0.0896,9,130,139,0,2.03700210932,0.333333333333,0.0877058019307
1215,1216,2011-02-23,4,0,2,17,0,3,1,1,0.34,0.3485,0.25,0.0896,15,207,222,0,1.75142361026,0.258198889747,0.0695048046857
1216,1217,2011-02-23,4,0,2,18,0,3,1,1,0.32,0.3333,0.26,0.0896,3,206,209,0,1.78742501351,0.57735026919,0.0696733014292
1217,1218,2011-02-23,4,0,2,19,0,3,1,1,0.3,0.3333,0.33,0.0,6,135,141,1,2.02860206483,0.408248290464,0.0860662965824
1229,1230,2011-02-24,4,0,2,8,0,4,1,1,0.24,0.2273,0.7,0.2239,8,244,252,0,1.67365481751,0.353553390593,0.0640184399664
1230,1231,2011-02-24,4,0,2,9,0,4,1,1,0.24,0.2121,0.75,0.2985,4,133,137,0,2.04550737432,0.5,0.0867109969524
1238,1239,2011-02-24,4,0,2,17,0,4,1,0,0.36,0.3485,0.66,0.194,9,168,177,0,1.88982236505,0.333333333333,0.077151674981
1239,1240,2011-02-24,4,0,2,18,0,4,1,1,0.34,0.303,0.87,0.3284,5,132,137,0,2.04550737432,0.4472135955,0.0870388279778
1261,1262,2011-02-25,4,0,2,17,0,5,1,1,0.32,0.2727,0.49,0.7463,8,181,189,1,1.84742233484,0.353553390593,0.0743294146247
1262,1263,2011-02-25,4,0,2,18,0,5,1,1,0.32,0.2879,0.49,0.4925,7,150,157,0,1.96116135138,0.377964473009,0.0816496580928
1280,1281,2011-02-26,4,0,2,12,0,6,0,1,0.32,0.3182,0.45,0.1642,45,115,160,0,1.94994393992,0.1490711985,0.093250480824
1281,1282,2011-02-26,4,0,2,13,0,6,0,1,0.34,0.3182,0.42,0.2537,38,136,174,0,1.90002850064,0.162221421131,0.0857492925713
1282,1283,2011-02-26,4,0,2,14,0,6,0,1,0.34,0.303,0.36,0.3284,57,154,211,0,1.78174161275,0.132453235707,0.0805822964025
1283,1284,2011-02-26,4,0,2,15,0,6,0,1,0.36,0.3333,0.4,0.2836,40,125,165,0,1.93166852322,0.158113883008,0.0894427191
1284,1285,2011-02-26,4,0,2,16,0,6,0,1,0.36,0.3333,0.46,0.2836,41,130,171,0,1.91040179975,0.156173761889,0.0877058019307
1285,1286,2011-02-26,4,0,2,17,0,6,0,1,0.36,0.3485,0.43,0.2239,53,130,183,0,1.86989398002,0.137360563949,0.0877058019307
1286,1287,2011-02-26,4,0,2,18,0,6,0,1,0.34,0.3333,0.46,0.194,26,111,137,0,2.04550737432,0.196116135138,0.0949157995752
1303,1304,2011-02-27,4,0,2,12,0,0,0,1,0.4,0.4091,0.54,0.0896,61,132,193,0,1.83493960854,0.128036879933,0.0870388279778
1304,1305,2011-02-27,4,0,2,13,0,0,0,1,0.42,0.4242,0.47,0.0,90,169,259,1,1.65748386033,0.105409255339,0.0769230769231
1305,1306,2011-02-27,4,0,2,14,0,0,0,1,0.44,0.4394,0.47,0.0896,105,177,282,0,1.60540324767,0.0975900072949,0.0751646028003
1306,1307,2011-02-27,4,0,2,15,0,0,0,1,0.46,0.4545,0.44,0.1343,98,163,261,0,1.65294901227,0.101015254455,0.0783260449988
1307,1308,2011-02-27,4,0,2,16,0,0,0,1,0.48,0.4697,0.44,0.1642,98,170,268,0,1.63517485042,0.101015254455,0.0766964988847
1308,1309,2011-02-27,4,0,2,17,0,0,0,1,0.42,0.4242,0.54,0.194,66,121,187,0,1.85695338177,0.123091490979,0.0909090909091
1321,1322,2011-02-28,4,0,2,8,0,1,1,1,0.34,0.303,0.93,0.2985,13,242,255,0,1.66666666667,0.277350098113,0.0642824346533
1322,1323,2011-02-28,4,0,2,9,0,1,1,1,0.42,0.4242,0.82,0.2836,15,127,142,0,2.02444082545,0.258198889747,0.0887356509416
1331,1332,2011-02-28,4,0,2,18,0,1,1,0,0.46,0.4545,0.94,0.194,4,127,131,0,2.07167697616,0.5,0.0887356509416
1345,1346,2011-03-01,1,0,3,8,0,2,1,1,0.2,0.1818,0.59,0.3881,10,204,214,0,1.77331725533,0.316227766017,0.0700140042014
1354,1355,2011-03-01,1,0,3,17,0,2,1,1,0.34,0.3485,0.34,0.0896,12,230,242,0,1.69759959366,0.288675134595,0.0659380473396
1355,1356,2011-03-01,1,0,3,18,0,2,1,1,0.32,0.3182,0.39,0.194,10,214,224,0,1.74607573942,0.316227766017,0.0683585927025
1369,1370,2011-03-02,1,0,3,8,0,3,1,1,0.24,0.2121,0.65,0.2836,13,243,256,0,1.66435666325,0.277350098113,0.06415002991
1370,1371,2011-03-02,1,0,3,9,0,3,1,1,0.28,0.2576,0.56,0.2985,7,141,148,0,1.99601196014,0.377964473009,0.0842151921067
1377,1378,2011-03-02,1,0,3,16,0,3,1,1,0.54,0.5152,0.19,0.3284,27,112,139,0,2.03700210932,0.19245008973,0.0944911182523
1378,1379,2011-03-02,1,0,3,17,0,3,1,1,0.5,0.4848,0.23,0.2836,30,238,268,0,1.63517485042,0.182574185835,0.0648203723552
1379,1380,2011-03-02,1,0,3,18,0,3,1,1,0.46,0.4545,0.23,0.4925,8,193,201,0,1.81071492085,0.353553390593,0.0719815750749
1380,1381,2011-03-02,1,0,3,19,0,3,1,1,0.4,0.4091,0.28,0.5224,6,144,150,0,1.98810693122,0.408248290464,0.0833333333333
1393,1394,2011-03-03,1,0,3,8,0,4,1,1,0.14,0.1212,0.39,0.2985,4,216,220,0,1.75682092232,0.5,0.068041381744
1394,1395,2011-03-03,1,0,3,9,0,4,1,1,0.16,0.1364,0.37,0.2836,10,135,145,0,2.00804832226,0.316227766017,0.0860662965824
1402,1403,2011-03-03,1,0,3,17,0,4,1,1,0.26,0.303,0.22,0.0,17,185,202,1,1.80775381516,0.242535625036,0.0735214622094
1403,1404,2011-03-03,1,0,3,18,0,4,1,1,0.24,0.2121,0.35,0.3284,6,161,167,0,1.9245008973,0.408248290464,0.0788110406239
1417,1418,2011-03-04,1,0,3,8,0,5,1,1,0.18,0.197,0.74,0.1343,6,222,228,0,1.73552533625,0.408248290464,0.0671156055214
1418,1419,2011-03-04,1,0,3,9,0,5,1,1,0.22,0.2273,0.6,0.1343,12,138,150,0,1.98810693122,0.288675134595,0.0851256530759
1426,1427,2011-03-04,1,0,3,17,0,5,1,1,0.36,0.3333,0.5,0.2537,22,206,228,0,1.73552533625,0.213200716356,0.0696733014292
